discharge_date,n_discharges,avg_discharge_time,percent_discharge_before_14,percent_discharge_before_13,percent_discharge_before_12,percent_discharge_before_11,weekday,n_md_staff,n_app_staff,n_nurse_staff,n_cm_staff,n_pharm_staff,n_bed_staff,rounding_start,n_floor_adder,rounding_mean_queue_length,perc_transport_cases,perc_equipment_cases,perc_cm_cases,perc_cm_trans_cases,perc_cm_equip_cases,perc_cm_trans_med_cases,perc_cm_equip_med_cases,perc_cm_equip_trans_cases,perc_cm_equip_trans_med_cases,avg_bed_wait_time,percent_bed_wait_less_30_min,percent_bed_wait_less_1_hr,percent_bed_wait_less_2_hr,percent_home_floor,percent_service_A,percent_service_B,avg_discharge_before_13,avg_discharge_before_12,avg_discharge_before_11,avg_discharge_before_14
01-01-2023,22,12.5,0.7272727272727273,0.5454545454545454,0.2727272727272727,0.045454545454545456,6.0,3,6,8,4,3,3,480,0.45454545454545453,4.2272727272727275,0.045454545454545456,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,64.31969696969696,0.36363636363636365,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.7272727272727273,0.2727272727272727,1,0,0,1
01-01-2024,10,11.5,1.0,0.7,0.6,0.1,0.0,1,3,10,0,3,3,450,0.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7,0.4,0.6,1,1,0,1
01-01-2025,21,12.285714285714286,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.14285714285714285,2.0,4,6,10,3,3,3,480,0.42857142857142855,3.142857142857143,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,1.0,1.0,1.0,0.47619047619047616,0.5238095238095238,0.47619047619047616,1,0,0,1
01-01-2026,17,12.058823529411764,0.7647058823529411,0.5882352941176471,0.4117647058823529,0.23529411764705882,3.0,4,5,8,2,3,3,480,0.35294117647058826,2.823529411764706,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,113.12745098039215,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.6470588235294118,0.35294117647058826,1,0,0,1
01-01-2027,21,13.238095238095237,0.5238095238095238,0.5238095238095238,0.19047619047619047,0.0,4.0,2,5,10,3,3,3,495,0.42857142857142855,5.857142857142857,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,100.66587301587303,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.3333333333333333,0.47619047619047616,0.5238095238095238,0,0,0,1
01-01-2028,20,13.05,0.65,0.4,0.25,0.0,5.0,3,5,10,3,3,3,495,0.4,3.9,0.1,0.15,0.3,0.1,0.15,0.05,0.1,0.05,0.05,111.84833333333333,0.2,0.25,0.55,0.5,0.5,0.5,0,0,0,1
01-01-2029,10,11.4,0.9,0.8,0.6,0.3,0.0,3,6,8,2,3,3,480,0.0,2.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,284.04,0.0,0.0,0.3,0.6,0.6,0.4,1,1,0,1
01-01-2030,10,10.6,1.0,1.0,0.9,0.4,1.0,3,6,9,0,1,3,480,0.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4,0.5,0.5,1,1,1,1
01-01-2031,21,14.904761904761905,0.38095238095238093,0.2857142857142857,0.19047619047619047,0.09523809523809523,2.0,1,2,10,4,3,4,450,0.42857142857142855,11.0,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.0,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.3333333333333333,0,0,0,0
01-02-2022,21,13.095238095238095,0.6190476190476191,0.42857142857142855,0.0,0.0,6.0,2,5,10,4,3,3,480,0.42857142857142855,5.761904761904762,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.0,1.0,1.0,1.0,0.6190476190476191,0.6666666666666666,0.3333333333333333,0,0,0,1
01-02-2023,11,12.909090909090908,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0,2,2,8,2,3,3,465,0.2727272727272727,3.272727272727273,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,30.956060606060603,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.45454545454545453,0.5454545454545454,1,0,0,1
01-02-2024,10,12.3,0.9,0.6,0.2,0.0,1.0,2,5,10,2,3,3,495,0.5,3.1,0.1,0.2,0.3,0.1,0.2,0.0,0.1,0.1,0.0,0.0,1.0,1.0,1.0,0.5,0.6,0.4,1,0,0,1
01-02-2025,20,12.8,0.65,0.55,0.25,0.05,3.0,4,6,10,1,3,3,510,0.4,3.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,70.79249999999999,0.45,0.55,0.7,0.7,0.7,0.3,1,0,0,1
01-02-2026,24,14.541666666666666,0.4166666666666667,0.2916666666666667,0.16666666666666666,0.041666666666666664,4.0,1,3,8,4,3,3,465,0.5,12.5,0.041666666666666664,0.0,0.16666666666666666,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,57.62222222222223,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.4166666666666667,0,0,0,0
01-02-2027,19,12.368421052631579,0.7368421052631579,0.5263157894736842,0.3157894736842105,0.05263157894736842,5.0,2,5,10,3,3,3,480,0.3684210526315789,5.368421052631579,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,91.8780701754386,0.2631578947368421,0.3684210526315789,0.631578947368421,0.47368421052631576,0.3157894736842105,0.6842105263157895,1,0,0,1
01-02-2028,21,13.285714285714286,0.6190476190476191,0.38095238095238093,0.19047619047619047,0.047619047619047616,6.0,3,5,10,4,3,3,495,0.42857142857142855,4.0476190476190474,0.19047619047619047,0.23809523809523808,0.38095238095238093,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,63.773809523809526,0.47619047619047616,0.5238095238095238,0.8095238095238095,0.5714285714285714,0.6190476190476191,0.38095238095238093,0,0,0,1
01-02-2029,12,12.583333333333334,0.6666666666666666,0.4166666666666667,0.25,0.16666666666666666,1.0,1,3,8,2,3,3,465,0.8333333333333334,6.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,12.65,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.4166666666666667,1,0,0,1
01-02-2030,21,13.428571428571429,0.5238095238095238,0.38095238095238093,0.19047619047619047,0.14285714285714285,2.0,1,3,9,3,3,3,465,0.5238095238095238,11.0,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,1.0,1.0,1.0,0.5238095238095238,0.5714285714285714,0.42857142857142855,0,0,0,1
01-02-2031,15,13.333333333333334,0.5333333333333333,0.4,0.26666666666666666,0.2,3.0,1,2,10,2,3,3,450,0.26666666666666666,8.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,128.43666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.6,0.8666666666666667,0.13333333333333333,0,0,0,1
01-03-2022,11,12.090909090909092,0.9090909090909091,0.6363636363636364,0.36363636363636365,0.0,0.0,2,5,10,3,3,3,480,0.45454545454545453,3.4545454545454546,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,26.634848484848487,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.5454545454545454,0.8181818181818182,0.18181818181818182,1,0,0,1
